Semana,casos,focos,tmin,tmed,tmax,prec
2018-01-14,0.0,29.0,22.75878851754325,25.647203717912948,30.36114038739885,33.5625
2018-01-21,0.0,27.0,21.26309095110212,24.20550891331264,28.999106543404714,65.375
2018-01-28,0.0,34.0,20.069840294974192,23.93089975629534,27.98832975115095,1.0625
2018-02-04,0.0,17.0,21.039685930524552,24.790332794189453,29.20711953299386,9.0
2018-02-11,0.0,4.0,20.11461312430245,23.30858039855957,26.65835407802037,65.5
2018-02-18,0.0,11.0,20.656478336879186,24.215042659214564,28.277097702026367,33.9375
2018-02-25,0.0,12.0,21.05816759381976,24.71091570172991,29.69114330836705,47.75
2018-03-04,0.0,12.0,20.95005089896065,24.10708727155413,27.77857181004116,28.6875
2018-03-11,0.0,3.0,21.640633174351283,24.7196775163923,28.66279411315918,15.625
2018-03-18,0.0,2.0,21.90390123639788,24.330535343715123,28.049038205827987,19.125
2018-03-25,0.0,9.0,20.864381517682755,23.38797869001116,26.88250650678362,112.8125
2018-04-01,0.0,22.0,19.64116941179548,23.22932979038784,28.31835692269461,54.5
2018-04-08,0.0,31.0,20.365079607282365,24.079670769827707,28.729989188058035,1.0
2018-04-15,0.0,37.0,18.20436205182757,21.885775429861887,26.82729721069336,24.0
2018-04-22,0.0,19.0,19.99610846383231,23.718406677246094,28.68698365347726,0.0
2018-04-29,0.0,24.0,20.862139293125697,23.421891621180944,27.35743822370257,7.4375
2018-05-06,0.0,22.0,18.6732828957694,21.62465803963797,25.027466910226003,8.75
2018-05-13,0.0,20.0,17.403695515223912,20.12698446001325,24.07074819292341,9.5
2018-05-20,0.0,19.0,11.992440904889788,16.385380744934082,21.200532913208008,4.625
2018-05-27,0.0,9.0,16.767895562308176,20.024347850254603,24.49097388131278,1.75
2018-06-03,0.0,15.0,11.01159245627267,15.213858604431152,19.74009731837681,10.5
2018-06-10,0.0,5.0,14.203863552638463,16.46012728554862,19.752603667122976,17.625
2018-06-17,0.0,12.0,13.625537191118513,16.771488870893204,21.881511415754044,0.0
2018-06-24,0.0,15.0,15.683274132864817,17.72422436305455,21.177360807146343,20.25
2018-07-01,0.0,10.0,14.066585949489047,16.50223786490304,19.87645503452846,25.0625
2018-07-08,0.0,9.0,11.179301057543071,15.485534395490374,20.715811593191965,0.0625
2018-07-15,0.0,7.0,15.644165447780065,18.66422598702567,23.711318697248185,3.125
2018-07-22,0.0,9.0,14.865629604884557,16.826119014195033,20.30314145769392,51.75
2018-07-29,0.0,3.0,13.895881516592842,15.748852457318987,18.69081905909947,3.625
2018-08-05,0.0,11.0,11.4914642061506,15.220020021711075,20.44120134626116,1.25
2018-08-12,0.0,7.0,13.093617711748395,16.612867764064244,21.287635258265905,0.0
2018-08-19,0.0,2.0,14.087982177734377,16.282138551984513,19.523541722978862,66.5
2018-08-26,0.0,2.0,12.95892347608294,16.697808265686035,21.336356026785715,20.5
2018-09-02,0.0,3.0,14.265080724443708,17.720118931361608,21.75670841761998,74.625
2018-09-09,0.0,2.0,15.741694586617609,17.889558247157506,20.66874831063407,49.875
2018-09-16,0.0,4.0,17.266473497663224,20.40626198904855,24.63050297328404,33.75
2018-09-23,0.0,0.0,19.972658702305385,22.22496850149972,25.80384635925293,5.625
2018-09-30,0.0,0.0,18.293126923697336,20.46633556910924,23.985541479928152,8.5
2018-10-07,0.0,0.0,18.7481884275164,20.75672013419015,23.52889088221959,7.4375
2018-10-14,0.0,0.0,18.32821995871408,20.67455645969936,23.708522251674108,14.875
2018-10-21,0.0,2.0,18.172664369855607,20.4468571799142,23.875089645385746,58.375
2018-10-28,0.0,6.0,18.39987782069615,20.73556763785226,23.44914218357631,28.5625
2018-11-04,0.0,3.0,18.777701786586217,21.68988173348563,25.049545288085938,31.125
2018-11-11,0.0,1.0,21.29001889910017,24.70063645499093,28.47456632341657,2.1875
2018-11-18,0.0,3.0,19.49880232129778,22.398630959647043,26.22034399850028,23.375
2018-11-25,0.0,0.0,19.46414675031389,22.582514354160853,26.27236638750349,48.125
2018-12-02,0.0,11.0,18.145044599260604,21.334950038364955,25.164323261805944,22.25
2018-12-09,0.0,4.0,21.293281282697404,25.286248888288224,30.24659211294992,10.625
2018-12-16,0.0,10.0,22.555538722446983,26.09948376246861,31.228463309151785,59.0
2018-12-23,0.0,8.0,21.27241625104632,24.16299193246024,27.984208243233816,39.6875
2018-12-30,0.0,9.0,24.07864897591727,26.820769446236746,31.119234902518137,10.625
2019-01-06,0.0,12.0,23.918604714529856,27.08004052298409,31.59191676548549,9.375
2019-01-13,0.0,45.0,23.77443858555385,26.88993099757604,32.268515178135466,79.25
2019-01-20,0.0,66.0,22.997671127319336,26.027372087751115,29.975100108555385,86.125
2019-01-27,3.0,65.0,24.49087061200823,28.08928298950196,33.95247050694057,45.0625
2019-02-03,3.0,70.0,20.539410182407924,24.30717740740095,28.22687040056501,30.1875
2019-02-10,1.0,70.0,21.78592545645577,24.37967954363142,27.82240377153669,12.1875
2019-02-17,0.0,104.0,21.72046170915876,25.040671484810964,29.65596280779157,138.75
2019-02-24,0.0,72.0,21.06995909554617,24.66976002284459,29.123700550624303,40.3125
2019-03-03,0.0,23.0,23.418080466134207,27.02343504769461,31.29972757611956,28.25
2019-03-10,2.0,27.0,21.55453327723912,24.288529804774694,27.515336445399694,39.8125
2019-03-17,0.0,41.0,20.94438743591309,23.566742760794504,27.123409271240234,14.6875
